,none,Top_net shot,Top_return net,Top_smash,Top_lob,Top_clear,Top_drive,Top_drop,Top_push,Top_rush,Top_cross-court net shot,Top_short service,Top_long service,Bottom_net shot,Bottom_return net,Bottom_smash,Bottom_lob,Bottom_clear,Bottom_drive,Bottom_drop,Bottom_push,Bottom_rush,Bottom_cross-court net shot,Bottom_short service,Bottom_long service
Top_cross-court net shot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.16129032258064516,0.0,0.22580645161290322,0.0,0.0
Top_short service,0.0,0.014705882352941176,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38235294117647056,0.0,0.0,0.3088235294117647,0.0,0.0,0.0,0.25,0.014705882352941176,0.014705882352941176,0.0,0.0
Top_long service,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.16,0.0,0.28,0.0,0.0,0.0,0.0,0.0
Bottom_net shot,0.0,0.2608695652173913,0.0,0.0,0.48792270531400966,0.0,0.004830917874396135,0.0,0.1932367149758454,0.014492753623188406,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00966183574879227,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_return net,0.0,0.2818181818181818,0.0,0.0,0.3090909090909091,0.0,0.01818181818181818,0.0,0.18181818181818182,0.045454545454545456,0.05454545454545454,0.0,0.0,0.00909090909090909,0.01818181818181818,0.00909090909090909,0.01818181818181818,0.0,0.045454545454545456,0.0,0.0,0.0,0.00909090909090909,0.0,0.0
Bottom_smash,0.007633587786259542,0.022900763358778626,0.6412213740458015,0.0,0.03816793893129771,0.0,0.07633587786259542,0.0,0.0,0.0,0.04580152671755725,0.0,0.0,0.05343511450381679,0.0,0.015267175572519083,0.03816793893129771,0.0,0.015267175572519083,0.0,0.04580152671755725,0.0,0.0,0.0,0.0
Bottom_lob,0.0,0.0,0.0,0.31512605042016806,0.0,0.2605042016806723,0.05042016806722689,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.008403361344537815,0.046218487394957986,0.0,0.008403361344537815,0.0,0.008403361344537815,0.0,0.0,0.0,0.008403361344537815,0.0,0.0
Bottom_clear,0.0,0.0,0.0,0.34782608695652173,0.0,0.2898550724637681,0.021739130434782608,0.2898550724637681,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.028985507246376812,0.0,0.0,0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_drive,0.0,0.011904761904761904,0.35714285714285715,0.011904761904761904,0.011904761904761904,0.08333333333333333,0.10714285714285714,0.03571428571428571,0.05952380952380952,0.023809523809523808,0.0,0.0,0.0,0.011904761904761904,0.08333333333333333,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.011904761904761904,0.023809523809523808,0.023809523809523808,0.0,0.0
Bottom_drop,0.0,0.5597014925373134,0.0,0.007462686567164179,0.208955223880597,0.0,0.0,0.0,0.11940298507462686,0.029850746268656716,0.06716417910447761,0.0,0.0,0.0,0.007462686567164179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_push,0.0,0.0,0.058333333333333334,0.1,0.0,0.30833333333333335,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.008333333333333333,0.0,0.0,0.025,0.0,0.0,0.0,0.016666666666666666,0.0,0.0
Bottom_rush,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_cross-court net shot,0.017857142857142856,0.2857142857142857,0.017857142857142856,0.0,0.48214285714285715,0.0,0.0,0.0,0.125,0.017857142857142856,0.03571428571428571,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_short service,0.0,0.35802469135802467,0.012345679012345678,0.0,0.2839506172839506,0.0,0.0,0.0,0.24691358024691357,0.012345679012345678,0.024691358024691357,0.0,0.0,0.012345679012345678,0.0,0.0,0.037037037037037035,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottom_long service,0.0,0.0,0.0,0.46875,0.0,0.15625,0.0,0.25,0.0,0.0,0.0,0.0,0.03125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0
