n,pattern,support_count,support_frac
3,net_shot -> lob -> tap_smash,333,0.09042
3,drop -> net_shot -> lob,332,0.09014
3,net_shot -> net_shot -> net_shot,331,0.08987
3,tap_smash -> defensive_net -> net_shot,324,0.08797
3,defensive_net -> net_shot -> net_shot,316,0.0858
3,drop -> net_shot -> net_shot,301,0.08173
3,short_service -> net_shot -> net_shot,283,0.07684
3,lob -> clear -> smash,270,0.07331
3,lob -> clear -> clear,252,0.06842
3,smash -> defensive_net -> lob,244,0.06625
3,smash -> defensive_net -> push,237,0.06435
3,clear -> tap_smash -> defensive_net,235,0.06381
3,lob -> clear -> drop,224,0.06082
3,tap_smash -> defensive_net -> lob,208,0.05648
3,clear -> drop -> net_shot,205,0.05566
3,lob -> clear -> tap_smash,201,0.05458
3,transition_drop -> net_shot -> lob,195,0.05295
3,net_shot -> lob -> transition_drop,193,0.0524
3,defensive_net -> lob -> clear,185,0.05023
3,push -> clear -> smash,183,0.04969
3,lob -> transition_drop -> net_shot,182,0.04942
3,net_shot -> push -> clear,177,0.04806
3,cross_net -> net_shot -> lob,176,0.04779
3,tap_smash -> defensive_net -> push,176,0.04779
3,transition_drop -> net_shot -> net_shot,174,0.04724
3,push -> smash -> defensive_net,173,0.04697
3,push -> transition_drop -> net_shot,170,0.04616
3,unknown -> net_shot -> lob,163,0.04426
3,lob -> drop -> lob,160,0.04344
4,net_shot -> lob -> smash -> defensive_net,411,0.11159
4,net_shot -> lob -> drop -> net_shot,274,0.0744
4,net_shot -> net_shot -> lob -> smash,267,0.0725
4,lob -> smash -> defensive_net -> net_shot,242,0.06571
4,net_shot -> lob -> tap_smash -> defensive_net,232,0.06299
4,smash -> defensive_net -> net_shot -> lob,210,0.05702
4,lob -> drop -> net_shot -> lob,194,0.05267
4,lob -> drop -> net_shot -> net_shot,190,0.05159
4,lob -> tap_smash -> defensive_net -> net_shot,188,0.05105
4,net_shot -> net_shot -> net_shot -> lob,179,0.0486
4,drop -> net_shot -> net_shot -> lob,177,0.04806
4,net_shot -> net_shot -> lob -> drop,163,0.04426
4,lob -> clear -> smash -> defensive_net,156,0.04236
4,tap_smash -> defensive_net -> net_shot -> lob,155,0.04209
4,defensive_net -> net_shot -> net_shot -> lob,152,0.04127
4,net_shot -> net_shot -> lob -> clear,152,0.04127
4,short_service -> net_shot -> net_shot -> lob,146,0.03964
4,lob -> smash -> defensive_net -> lob,143,0.03883
4,net_shot -> lob -> clear -> smash,135,0.03665
4,defensive_net -> net_shot -> lob -> clear,135,0.03665
4,short_service -> net_shot -> lob -> smash,124,0.03367
4,defensive_net -> net_shot -> lob -> drop,124,0.03367
4,net_shot -> lob -> clear -> clear,123,0.0334
4,net_shot -> lob -> clear -> drop,122,0.03313
4,lob -> smash -> defensive_net -> push,120,0.03258
4,lob -> clear -> tap_smash -> defensive_net,119,0.03231
4,lob -> clear -> drop -> net_shot,115,0.03122
4,defensive_net -> net_shot -> lob -> smash,115,0.03122
4,net_shot -> lob -> clear -> tap_smash,115,0.03122
4,smash -> defensive_net -> net_shot -> net_shot,113,0.03068
4,tap_smash -> defensive_net -> net_shot -> net_shot,113,0.03068
4,net_shot -> net_shot -> lob -> tap_smash,111,0.03014
4,push -> clear -> smash -> defensive_net,103,0.02797
4,defensive_net -> lob -> smash -> defensive_net,102,0.02769
4,drop -> net_shot -> lob -> clear,100,0.02715
4,net_shot -> lob -> transition_drop -> net_shot,99,0.02688
4,clear -> drop -> net_shot -> lob,95,0.02579
4,net_shot -> lob -> drop -> lob,95,0.02579
4,lob -> tap_smash -> defensive_net -> lob,95,0.02579
4,defensive_net -> net_shot -> net_shot -> net_shot,94,0.02552
