row_index,video_id,rally_id,event_rank,clip_id,feature_source,window_start_original,window_end_original,original_len,video_len_after_collation,joints_npy,pos_npy,shuttle_npy,source_video,zero_pose_frames,zero_pose_rate,shuttle_visible_frames,shuttle_visible_rate,player_pos_out_of_unit_range,quality_group,has_phase02_label,stable_key,match_id,set_id,gt_rally_id,ball_round_id,event_frame_original,event_frame_source,stroke_type_ground_truth,player,server,true_label,true_label_name,reference_split
10,41,1,11,41_1_event_11,yolo,9154,9180,27,27,project/outputs/features_yolo26x_41_44/41/41_1_event_11_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_11_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_11_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,22,0.814815,0,candidate_only_pose_dropout_lt_25,False,,,,,,9167,window_midpoint_estimate,,,,-1,,
11,41,1,12,41_1_event_12,yolo,9180,9202,23,23,project/outputs/features_yolo26x_41_44/41/41_1_event_12_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_12_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_12_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,23,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9191,window_midpoint_estimate,,,,-1,,
12,41,1,13,41_1_event_13,yolo,9202,9218,17,17,project/outputs/features_yolo26x_41_44/41/41_1_event_13_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_13_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_13_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,17,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9210,window_midpoint_estimate,,,,-1,,
13,41,1,14,41_1_event_14,yolo,9218,9234,17,17,project/outputs/features_yolo26x_41_44/41/41_1_event_14_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_14_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_14_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,17,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9226,window_midpoint_estimate,,,,-1,,
14,41,1,15,41_1_event_15,yolo,9234,9254,21,21,project/outputs/features_yolo26x_41_44/41/41_1_event_15_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_15_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_15_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,15,0.714286,0,candidate_only_pose_dropout_lt_25,False,,,,,,9244,window_midpoint_estimate,,,,-1,,
15,41,1,16,41_1_event_16,yolo,9254,9280,27,27,project/outputs/features_yolo26x_41_44/41/41_1_event_16_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_16_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_16_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,21,0.777778,0,candidate_only_pose_dropout_lt_25,False,,,,,,9267,window_midpoint_estimate,,,,-1,,
16,41,1,17,41_1_event_17,yolo,9280,9300,21,21,project/outputs/features_yolo26x_41_44/41/41_1_event_17_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_17_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_17_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,21,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9290,window_midpoint_estimate,,,,-1,,
17,41,1,18,41_1_event_18,yolo,9300,9322,23,23,project/outputs/features_yolo26x_41_44/41/41_1_event_18_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_18_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_18_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,2,0.086957,23,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9311,window_midpoint_estimate,,,,-1,,
18,41,1,19,41_1_event_19,yolo,9322,9352,31,31,project/outputs/features_yolo26x_41_44/41/41_1_event_19_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_19_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_19_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,31,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9337,window_midpoint_estimate,,,,-1,,
19,41,1,20,41_1_event_20,yolo,9352,9378,27,27,project/outputs/features_yolo26x_41_44/41/41_1_event_20_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_20_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_20_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,1,0.037037,27,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9365,window_midpoint_estimate,,,,-1,,
20,41,1,21,41_1_event_21,yolo,9378,9401,24,24,project/outputs/features_yolo26x_41_44/41/41_1_event_21_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_21_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_21_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,1,0.041667,24,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9390,window_midpoint_estimate,,,,-1,,
21,41,1,22,41_1_event_22,yolo,9401,9422,22,22,project/outputs/features_yolo26x_41_44/41/41_1_event_22_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_22_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_22_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,22,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9412,window_midpoint_estimate,,,,-1,,
22,41,1,23,41_1_event_23,yolo,9422,9442,21,21,project/outputs/features_yolo26x_41_44/41/41_1_event_23_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_23_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_23_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,21,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9432,window_midpoint_estimate,,,,-1,,
23,41,1,24,41_1_event_24,yolo,9442,9462,21,21,project/outputs/features_yolo26x_41_44/41/41_1_event_24_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_24_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_24_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,15,0.714286,0,candidate_only_pose_dropout_lt_25,False,,,,,,9452,window_midpoint_estimate,,,,-1,,
24,41,1,25,41_1_event_25,yolo,9462,9479,18,18,project/outputs/features_yolo26x_41_44/41/41_1_event_25_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_25_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_25_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,18,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9470,window_midpoint_estimate,,,,-1,,
25,41,1,26,41_1_event_26,yolo,9479,9496,18,18,project/outputs/features_yolo26x_41_44/41/41_1_event_26_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_26_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_26_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,18,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9488,window_midpoint_estimate,,,,-1,,
26,41,1,27,41_1_event_27,yolo,9496,9514,19,19,project/outputs/features_yolo26x_41_44/41/41_1_event_27_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_27_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_27_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,19,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9505,window_midpoint_estimate,,,,-1,,
27,41,1,28,41_1_event_28,yolo,9514,9542,29,29,project/outputs/features_yolo26x_41_44/41/41_1_event_28_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_28_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_28_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,29,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9528,window_midpoint_estimate,,,,-1,,
28,41,1,29,41_1_event_29,yolo,9542,9576,35,35,project/outputs/features_yolo26x_41_44/41/41_1_event_29_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_29_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_29_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,35,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9559,window_midpoint_estimate,,,,-1,,
29,41,1,30,41_1_event_30,yolo,9576,9608,33,33,project/outputs/features_yolo26x_41_44/41/41_1_event_30_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_30_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_30_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,33,1.000000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9592,window_midpoint_estimate,,,,-1,,
30,41,1,31,41_1_event_31,yolo,9608,9638,31,31,project/outputs/features_yolo26x_41_44/41/41_1_event_31_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_31_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_31_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,1,0.032258,28,0.903226,0,candidate_only_pose_dropout_lt_25,False,,,,,,9623,window_midpoint_estimate,,,,-1,,
31,41,1,32,41_1_event_32,yolo,9638,9664,27,27,project/outputs/features_yolo26x_41_44/41/41_1_event_32_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_32_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_32_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,15,0.555556,0,candidate_only_pose_dropout_lt_25,False,,,,,,9651,window_midpoint_estimate,,,,-1,,
32,41,1,33,41_1_event_33,yolo,9664,9688,25,25,project/outputs/features_yolo26x_41_44/41/41_1_event_33_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_33_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_33_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,24,0.960000,0,candidate_only_pose_dropout_lt_25,False,,,,,,9676,window_midpoint_estimate,,,,-1,,
33,41,1,34,41_1_event_34,yolo,9688,9720,33,33,project/outputs/features_yolo26x_41_44/41/41_1_event_34_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_34_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_34_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,0,0.000000,9,0.272727,0,candidate_only_pose_dropout_lt_25,False,,,,,,9704,window_midpoint_estimate,,,,-1,,
34,41,1,35,41_1_1_1,yolo,9720,9748,29,29,project/outputs/features_yolo26x_41_44/41/41_1_1_1_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_1_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_1_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,5,0.172414,21,0.724138,0,exact_label_pose_dropout_lt_25,True,41:1:1:1,41,1,1,1,9731,phase02_exact,short service,B,1,23,Bottom_short service,val
35,41,1,36,41_1_1_2,yolo,9748,9770,23,23,project/outputs/features_yolo26x_41_44/41/41_1_1_2_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_2_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_2_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,4,0.173913,23,1.000000,13,exact_label_pose_dropout_lt_25,True,41:1:1:2,41,1,1,2,9754,phase02_exact,lob,A,2,4,Top_lob,val
36,41,1,37,41_1_1_3,yolo,9770,9801,32,32,project/outputs/features_yolo26x_41_44/41/41_1_1_3_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_3_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_3_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,2,0.062500,32,1.000000,2,exact_label_pose_dropout_lt_25,True,41:1:1:3,41,1,1,3,9787,phase02_exact,clear,B,2,17,Bottom_clear,val
37,41,1,38,41_1_1_4,yolo,9801,9824,24,24,project/outputs/features_yolo26x_41_44/41/41_1_1_4_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_4_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_4_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,4,0.166667,24,1.000000,9,exact_label_pose_dropout_lt_25,True,41:1:1:4,41,1,1,4,9817,phase02_exact,drop,A,2,7,Top_drop,val
38,41,1,39,41_1_event_39,yolo,9824,9842,19,19,project/outputs/features_yolo26x_41_44/41/41_1_event_39_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_39_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_39_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,12,0.631579,19,1.000000,5,candidate_only_pose_dropout_ge_50,False,,,,,,9833,window_midpoint_estimate,,,,-1,,
39,41,1,40,41_1_1_5,yolo,9842,9866,25,25,project/outputs/features_yolo26x_41_44/41/41_1_1_5_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_5_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_5_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,12,0.480000,25,1.000000,0,exact_label_pose_dropout_25_50,True,41:1:1:5,41,1,1,5,9851,phase02_exact,lob,B,2,16,Bottom_lob,val
40,41,1,41,41_1_1_6,yolo,9866,9889,24,24,project/outputs/features_yolo26x_41_44/41/41_1_1_6_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_6_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_6_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,9,0.375000,24,1.000000,7,exact_label_pose_dropout_25_50,True,41:1:1:6,41,1,1,6,9894,phase02_exact,passive drop,A,2,7,Top_drop,val
41,41,1,42,41_1_event_42,yolo,9889,9906,18,18,project/outputs/features_yolo26x_41_44/41/41_1_event_42_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_42_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_event_42_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,5,0.277778,18,1.000000,7,candidate_only_pose_dropout_25_50,False,,,,,,9898,window_midpoint_estimate,,,,-1,,
42,41,1,43,41_1_1_7,yolo,9906,9934,29,29,project/outputs/features_yolo26x_41_44/41/41_1_1_7_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_7_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_7_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,7,0.241379,29,1.000000,4,exact_label_pose_dropout_lt_25,True,41:1:1:7,41,1,1,7,9916,phase02_exact,push,B,2,20,Bottom_push,val
43,41,1,44,41_1_1_8,yolo,9934,9964,31,31,project/outputs/features_yolo26x_41_44/41/41_1_1_8_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_8_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_8_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,3,0.096774,31,1.000000,14,exact_label_pose_dropout_lt_25,True,41:1:1:8,41,1,1,8,9951,phase02_exact,passive drop,A,2,7,Top_drop,val
44,41,1,45,41_1_1_9,yolo,9964,9990,27,27,project/outputs/features_yolo26x_41_44/41/41_1_1_9_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_9_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_9_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,17,0.629630,27,1.000000,0,exact_label_pose_dropout_ge_50,True,41:1:1:9,41,1,1,9,9975,phase02_exact,cross-court net shot,B,2,22,Bottom_cross-court net shot,val
45,41,1,46,41_1_1_10,yolo,9990,10016,27,27,project/outputs/features_yolo26x_41_44/41/41_1_1_10_joints.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_10_pos.npy,project/outputs/features_yolo26x_41_44/41/41_1_1_10_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,27,1.000000,27,1.000000,0,exact_label_all_pose_missing,True,41:1:1:10,41,1,1,10,10004,phase02_exact,lob,A,2,4,Top_lob,val
