row_index,video_id,rally_id,event_rank,clip_id,feature_alias_source_clip_id,feature_source,window_strategy,player_order,event_offset_frames,window_start_original,window_end_original,original_len,video_len_after_collation,joints_npy,pos_npy,shuttle_npy,source_video,validity_npz,zero_pose_frames,zero_pose_rate,pose_missing_rate,position_missing_rate,p1_pose_valid_rate,p2_pose_valid_rate,p1_position_valid_rate,p2_position_valid_rate,both_pose_missing_rate,both_position_missing_rate,pose_tensor_zero_rate,position_tensor_zero_rate,shuttle_visible_frames,shuttle_visible_rate,player_pos_out_of_unit_range,player_side_inconsistent_rate,quality_group,has_phase02_label,stable_key,match_id,set_id,gt_rally_id,ball_round_id,event_frame_original,event_frame_source,stroke_type_ground_truth,player,server,true_label,true_label_name,reference_split
10,41,1,11,41_1_1_11,,yolo26x_tracked,bst-compatible,"Top,Bottom",44,10004,10089,86,86,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_11_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_11_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_11_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_11_validity.npz,19,0.22093000000000007,0.22093000000000007,0.22093000000000007,0.558140,1.000000,0.558140,1.000000,0.000000,0.000000,0.309508,0.220930,86,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:1:11,41,1,1,11,10048,phase09_exact,clear,B,2,17,Bottom_clear,val
11,41,1,12,41_1_1_12,,yolo26x_tracked,bst-compatible,"Top,Bottom",35,10048,10115,68,68,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_12_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_12_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_12_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_12_validity.npz,22,0.31617649999999997,0.31617649999999997,0.31617649999999997,0.367647,1.000000,0.367647,1.000000,0.000000,0.000000,0.414792,0.316176,68,1.0,0,0.000000,exact_label_pose_dropout_25_50,True,41:1:1:12,41,1,1,12,10083,phase09_exact,passive drop,A,2,7,Top_drop,val
12,41,1,13,41_1_1_13,,yolo26x_tracked,bst-compatible,"Top,Bottom",26,10083,10123,41,41,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_13_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_13_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_13_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_1_13_validity.npz,17,0.41463399999999995,0.41463399999999995,0.41463399999999995,0.170732,1.000000,0.170732,1.000000,0.000000,0.000000,0.503228,0.414634,41,1.0,0,0.000000,exact_label_pose_dropout_25_50,True,41:1:1:13,41,1,1,13,10109,phase09_exact,net shot,B,3,13,Bottom_net shot,val
13,41,2,1,41_1_2_1,,yolo26x_tracked,bst-compatible,"Top,Bottom",15,10536,10584,49,49,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_1_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_1_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_1_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_1_validity.npz,0,0.0,0.0,0.0,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.10084,0.000000,29,0.591837,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:2:1,41,1,2,1,10551,phase09_exact,short service,B,1,23,Bottom_short service,val
14,41,2,2,41_1_2_2,,yolo26x_tracked,bst-compatible,"Top,Bottom",27,10551,10614,64,64,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_2_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_2_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_2_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_2_validity.npz,0,0.0,0.0,0.0,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.090763,0.000000,59,0.921875,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:2:2,41,1,2,2,10578,phase09_exact,push,A,2,8,Top_push,val
15,41,2,3,41_1_2_3,,yolo26x_tracked,bst-compatible,"Top,Bottom",30,10578,10654,77,77,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_3_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_3_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_3_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_3_validity.npz,1,0.01948050000000001,0.01948050000000001,0.01948050000000001,0.961039,1.000000,0.961039,1.000000,0.000000,0.000000,0.118602,0.019481,77,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:2:3,41,1,2,3,10608,phase09_exact,clear,B,2,17,Bottom_clear,val
16,41,2,4,41_1_2_4,,yolo26x_tracked,bst-compatible,"Top,Bottom",40,10608,10687,80,80,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_4_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_4_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_4_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_4_validity.npz,2,0.018750000000000044,0.018750000000000044,0.018750000000000044,0.962500,1.000000,0.962500,1.000000,0.000000,0.000000,0.120956,0.018750,80,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:2:4,41,1,2,4,10648,phase09_exact,clear,A,2,5,Top_clear,val
17,41,2,5,41_1_2_5,,yolo26x_tracked,bst-compatible,"Top,Bottom",33,10648,10695,48,48,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_5_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_5_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_5_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_2_5_validity.npz,1,0.02083349999999995,0.02083349999999995,0.02083349999999995,0.958333,1.000000,0.958333,1.000000,0.000000,0.000000,0.11826,0.020833,48,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:2:5,41,1,2,5,10681,phase09_exact,clear,B,3,17,Bottom_clear,val
18,41,3,1,41_1_3_1,,yolo26x_tracked,bst-compatible,"Top,Bottom",15,10984,11035,52,52,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_3_1_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_3_1_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_3_1_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_3_1_validity.npz,0,0.0,0.0,0.0,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.090498,0.000000,52,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:3:1,41,1,3,1,10999,phase09_exact,short service,A,1,11,Top_short service,val
19,41,3,2,41_1_3_2,,yolo26x_tracked,bst-compatible,"Top,Bottom",30,10999,11043,45,45,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_3_2_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_3_2_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_3_2_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_3_2_validity.npz,3,0.06666649999999996,0.06666649999999996,0.06666649999999996,0.866667,1.000000,0.866667,1.000000,0.000000,0.000000,0.156863,0.066667,45,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:3:2,41,1,3,2,11029,phase09_exact,net shot,B,3,13,Bottom_net shot,val
20,41,4,1,41_1_4_2,,yolo26x_tracked,bst-compatible,"Top,Bottom",15,11369,11398,30,30,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_4_2_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_4_2_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_4_2_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_4_2_validity.npz,0,0.0,0.0,0.0,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.089706,0.000000,19,0.633333,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:4:2,41,1,4,2,11384,phase09_exact,net shot,A,3,1,Top_net shot,val
21,41,5,1,41_1_5_1,,yolo26x_tracked,bst-compatible,"Top,Bottom",15,11717,11762,46,46,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_1_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_1_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_1_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_1_validity.npz,0,0.0,0.0,0.0,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.09335,0.000000,40,0.869565,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:5:1,41,1,5,1,11732,phase09_exact,short service,A,1,11,Top_short service,val
22,41,5,2,41_1_5_2,,yolo26x_tracked,bst-compatible,"Top,Bottom",24,11732,11796,65,65,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_2_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_2_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_2_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_2_validity.npz,6,0.08461549999999995,0.08461549999999995,0.08461549999999995,0.830769,1.000000,0.830769,1.000000,0.000000,0.000000,0.184389,0.084615,64,0.984615,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:5:2,41,1,5,2,11756,phase09_exact,push,B,2,20,Bottom_push,val
23,41,5,3,41_1_5_3,,yolo26x_tracked,bst-compatible,"Top,Bottom",34,11756,11811,56,56,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_3_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_3_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_3_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_3_validity.npz,8,0.15178550000000002,0.15178550000000002,0.15178550000000002,0.696429,1.000000,0.696429,1.000000,0.000000,0.000000,0.24895,0.151786,56,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:5:3,41,1,5,3,11790,phase09_exact,back-court drive,A,2,6,Top_drive,val
24,41,5,4,41_1_5_4,,yolo26x_tracked,bst-compatible,"Top,Bottom",15,11790,11838,49,49,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_4_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_4_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_4_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_4_validity.npz,18,0.37755099999999997,0.37755099999999997,0.37755099999999997,0.244898,1.000000,0.244898,1.000000,0.000000,0.000000,0.463685,0.377551,49,1.0,0,0.000000,exact_label_pose_dropout_25_50,True,41:1:5:4,41,1,5,4,11805,phase09_exact,return net,B,2,14,Bottom_return net,val
25,41,5,5,41_1_5_5,,yolo26x_tracked,bst-compatible,"Top,Bottom",27,11805,11866,62,62,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_5_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_5_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_5_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_5_validity.npz,15,0.23387099999999994,0.23387099999999994,0.23387099999999994,0.532258,1.000000,0.532258,1.000000,0.000000,0.000000,0.32685,0.233871,62,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:5:5,41,1,5,5,11832,phase09_exact,net shot,A,2,1,Top_net shot,val
26,41,5,6,41_1_5_6,,yolo26x_tracked,bst-compatible,"Top,Bottom",28,11832,11894,63,63,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_6_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_6_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_6_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_6_validity.npz,6,0.09523799999999993,0.09523799999999993,0.09523799999999993,0.809524,1.000000,0.809524,1.000000,0.000000,0.000000,0.203315,0.095238,63,1.0,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:5:6,41,1,5,6,11860,phase09_exact,net shot,B,2,13,Bottom_net shot,val
27,41,5,7,41_1_5_7,,yolo26x_tracked,bst-compatible,"Top,Bottom",28,11860,11939,80,80,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_7_joints.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_7_pos.npy,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_7_shuttle.npy,project/dataset/ShuttleSet_raw_videos/41 - Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals.mp4,project/outputs/features_yolo26x_bst_tracked_phase02_41_44/41/41_1_5_7_validity.npz,0,0.0,0.0,0.0,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.104596,0.000000,74,0.925,0,0.000000,exact_label_pose_dropout_lt_25,True,41:1:5:7,41,1,5,7,11888,phase09_exact,lob,A,2,4,Top_lob,val
