row_index,split,clip_id,source_branch,class_name,label,original_len,video_len_after_collation
20,train,11_1_31_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_31_1,未知球種,0,49,49
21,train,11_1_32_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_32_1,未知球種,0,55,55
22,train,11_1_33_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_33_1,未知球種,0,56,56
23,train,11_1_34_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_34_1,未知球種,0,56,56
24,train,11_1_35_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_35_1,未知球種,0,56,56
25,train,11_1_36_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_36_1,未知球種,0,56,56
26,train,11_1_37_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_37_1,未知球種,0,56,56
27,train,11_1_3_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_3_1,未知球種,0,55,55
28,train,11_1_5_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_5_1,未知球種,0,55,55
29,train,11_1_6_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_6_1,未知球種,0,55,55
30,train,11_1_7_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_7_1,未知球種,0,56,56
31,train,11_1_8_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_8_1,未知球種,0,55,55
32,train,11_1_9_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_1_9_1,未知球種,0,56,56
33,train,11_3_10_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_10_1,未知球種,0,55,55
34,train,11_3_11_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_11_1,未知球種,0,56,56
35,train,11_3_12_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_12_1,未知球種,0,55,55
36,train,11_3_13_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_13_1,未知球種,0,55,55
37,train,11_3_14_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_14_1,未知球種,0,18,18
38,train,11_3_15_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_15_1,未知球種,0,48,48
39,train,11_3_17_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_17_1,未知球種,0,55,55
40,train,11_3_18_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_18_1,未知球種,0,55,55
41,train,11_3_19_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_19_1,未知球種,0,55,55
42,train,11_3_20_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_20_1,未知球種,0,55,55
43,train,11_3_21_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_21_1,未知球種,0,55,55
44,train,11_3_22_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_22_1,未知球種,0,55,55
45,train,11_3_23_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_23_1,未知球種,0,55,55
46,train,11_3_24_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_24_1,未知球種,0,55,55
47,train,11_3_25_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_25_1,未知球種,0,50,50
48,train,11_3_26_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_26_1,未知球種,0,41,41
49,train,11_3_27_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_27_1,未知球種,0,50,50
50,train,11_3_28_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_28_1,未知球種,0,40,40
51,train,11_3_29_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_29_1,未知球種,0,55,55
52,train,11_3_2_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_2_1,未知球種,0,56,56
53,train,11_3_30_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_30_1,未知球種,0,55,55
54,train,11_3_31_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_31_1,未知球種,0,56,56
55,train,11_3_32_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_32_1,未知球種,0,55,55
56,train,11_3_33_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_33_1,未知球種,0,55,55
57,train,11_3_34_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_34_1,未知球種,0,55,55
58,train,11_3_35_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_35_1,未知球種,0,56,56
59,train,11_3_3_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_3_1,未知球種,0,50,50
60,train,11_3_4_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_4_1,未知球種,0,53,53
61,train,11_3_5_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_5_1,未知球種,0,56,56
62,train,11_3_6_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_6_1,未知球種,0,55,55
63,train,11_3_7_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_7_1,未知球種,0,56,56
64,train,11_3_8_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_8_1,未知球種,0,55,55
65,train,11_3_9_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_9_1,未知球種,0,18,18
66,train,11_3_9_2,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/11_3_9_2,未知球種,0,43,43
67,train,13_1_12_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_12_1,未知球種,0,25,25
68,train,13_1_14_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_14_1,未知球種,0,25,25
69,train,13_1_16_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_16_1,未知球種,0,25,25
70,train,13_1_19_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_19_1,未知球種,0,25,25
71,train,13_1_24_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_24_1,未知球種,0,25,25
72,train,13_1_25_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_25_1,未知球種,0,25,25
73,train,13_1_29_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_29_1,未知球種,0,25,25
74,train,13_1_31_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_31_1,未知球種,0,25,25
75,train,13_1_33_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_33_1,未知球種,0,25,25
76,train,13_1_34_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_34_1,未知球種,0,25,25
77,train,13_1_36_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_36_1,未知球種,0,25,25
78,train,13_1_39_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_39_1,未知球種,0,25,25
79,train,13_1_3_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_3_1,未知球種,0,25,25
80,train,13_1_42_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_42_1,未知球種,0,25,25
81,train,13_1_44_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_44_1,未知球種,0,25,25
82,train,13_1_46_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_46_1,未知球種,0,25,25
83,train,13_1_5_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_5_1,未知球種,0,25,25
84,train,13_1_6_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_6_1,未知球種,0,25,25
85,train,13_1_7_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_7_1,未知球種,0,25,25
86,train,13_1_8_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_1_8_1,未知球種,0,24,24
87,train,13_2_23_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_2_23_1,未知球種,0,25,25
88,train,13_2_24_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_2_24_1,未知球種,0,25,25
89,train,13_2_25_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_2_25_1,未知球種,0,25,25
90,train,13_2_31_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_2_31_1,未知球種,0,25,25
91,train,13_2_4_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_2_4_1,未知球種,0,25,25
92,train,13_2_5_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_2_5_1,未知球種,0,25,25
93,train,13_2_8_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/13_2_8_1,未知球種,0,25,25
94,train,15_1_18_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_1_18_1,未知球種,0,25,25
95,train,15_1_26_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_1_26_1,未知球種,0,24,24
96,train,15_1_31_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_1_31_1,未知球種,0,25,25
97,train,15_1_35_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_1_35_1,未知球種,0,25,25
98,train,15_1_5_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_1_5_1,未知球種,0,25,25
99,train,15_2_10_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_2_10_1,未知球種,0,25,25
100,train,15_2_28_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_2_28_1,未知球種,0,25,25
101,train,15_2_3_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_2_3_1,未知球種,0,24,24
102,train,15_2_5_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_2_5_1,未知球種,0,25,25
103,train,15_3_14_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_3_14_1,未知球種,0,25,25
104,train,15_3_18_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_3_18_1,未知球種,0,25,25
105,train,15_3_19_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_3_19_1,未知球種,0,25,25
106,train,15_3_20_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_3_20_1,未知球種,0,25,25
107,train,15_3_23_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_3_23_1,未知球種,0,24,24
108,train,15_3_29_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_3_29_1,未知球種,0,25,25
109,train,15_3_4_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_3_4_1,未知球種,0,25,25
110,train,15_3_9_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/15_3_9_1,未知球種,0,25,25
111,train,18_1_10_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_10_1,未知球種,0,24,24
112,train,18_1_11_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_11_1,未知球種,0,19,19
113,train,18_1_12_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_12_1,未知球種,0,25,25
114,train,18_1_13_12,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_13_12,未知球種,0,66,66
115,train,18_1_13_15,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_13_15,未知球種,0,66,66
116,train,18_1_15_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_15_1,未知球種,0,24,24
117,train,18_1_17_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_17_1,未知球種,0,24,24
118,train,18_1_18_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_18_1,未知球種,0,25,25
119,train,18_1_19_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_19_1,未知球種,0,24,24
120,train,18_1_21_8,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_21_8,未知球種,0,38,38
121,train,18_1_22_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_22_1,未知球種,0,25,25
122,train,18_1_27_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_27_1,未知球種,0,19,19
123,train,18_1_28_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_28_1,未知球種,0,25,25
124,train,18_1_29_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_29_1,未知球種,0,25,25
125,train,18_1_2_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_2_1,未知球種,0,24,24
126,train,18_1_32_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_32_1,未知球種,0,25,25
127,train,18_1_33_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_33_1,未知球種,0,18,18
128,train,18_1_33_8,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_33_8,未知球種,0,66,66
129,train,18_1_35_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_35_1,未知球種,0,25,25
130,train,18_1_36_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_36_1,未知球種,0,25,25
131,train,18_1_4_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_4_1,未知球種,0,24,24
132,train,18_1_5_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_5_1,未知球種,0,24,24
133,train,18_1_7_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_7_1,未知球種,0,25,25
134,train,18_1_8_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_8_1,未知球種,0,25,25
135,train,18_1_9_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_1_9_1,未知球種,0,19,19
136,train,18_2_10_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_10_1,未知球種,0,25,25
137,train,18_2_11_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_11_1,未知球種,0,24,24
138,train,18_2_12_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_12_1,未知球種,0,25,25
139,train,18_2_13_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_13_1,未知球種,0,25,25
140,train,18_2_14_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_14_1,未知球種,0,22,22
141,train,18_2_16_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_16_1,未知球種,0,25,25
142,train,18_2_18_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_18_1,未知球種,0,25,25
143,train,18_2_19_15,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_19_15,未知球種,0,66,66
144,train,18_2_20_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_20_1,未知球種,0,25,25
145,train,18_2_21_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_21_1,未知球種,0,25,25
146,train,18_2_22_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_22_1,未知球種,0,25,25
147,train,18_2_23_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_23_1,未知球種,0,48,48
148,train,18_2_24_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_24_1,未知球種,0,25,25
149,train,18_2_26_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_26_1,未知球種,0,25,25
150,train,18_2_27_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_27_1,未知球種,0,25,25
151,train,18_2_28_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_28_1,未知球種,0,25,25
152,train,18_2_2_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_2_1,未知球種,0,19,19
153,train,18_2_3_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_3_1,未知球種,0,28,28
154,train,18_2_4_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_4_1,未知球種,0,25,25
155,train,18_2_5_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_5_1,未知球種,0,25,25
156,train,18_2_7_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_7_1,未知球種,0,25,25
157,train,18_2_8_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_8_1,未知球種,0,25,25
158,train,18_2_9_7,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/18_2_9_7,未知球種,0,70,70
159,train,19_1_11_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_1_11_1,未知球種,0,25,25
160,train,19_1_14_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_1_14_1,未知球種,0,25,25
161,train,19_1_25_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_1_25_1,未知球種,0,38,38
162,train,19_1_29_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_1_29_1,未知球種,0,33,33
163,train,19_1_31_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_1_31_1,未知球種,0,25,25
164,train,19_1_3_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_1_3_1,未知球種,0,29,29
165,train,19_1_6_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_1_6_1,未知球種,0,24,24
166,train,19_2_17_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_2_17_1,未知球種,0,25,25
167,train,19_2_21_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_2_21_1,未知球種,0,25,25
168,train,19_2_23_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_2_23_1,未知球種,0,25,25
169,train,19_2_30_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_2_30_1,未知球種,0,25,25
170,train,19_2_5_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_2_5_1,未知球種,0,25,25
171,train,19_2_7_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_2_7_1,未知球種,0,24,24
172,train,19_3_24_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_3_24_1,未知球種,0,25,25
173,train,19_3_27_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_3_27_1,未知球種,0,25,25
174,train,19_3_29_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_3_29_1,未知球種,0,25,25
175,train,19_3_34_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_3_34_1,未知球種,0,25,25
176,train,19_3_5_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_3_5_1,未知球種,0,25,25
177,train,19_3_7_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/19_3_7_1,未知球種,0,25,25
178,train,1_2_15_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/1_2_15_1,未知球種,0,18,18
179,train,20_1_11_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/20_1_11_1,未知球種,0,25,25
180,train,20_1_14_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/20_1_14_1,未知球種,0,25,25
181,train,20_1_19_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/20_1_19_1,未知球種,0,25,25
182,train,20_1_20_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/20_1_20_1,未知球種,0,25,25
183,train,20_1_22_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/20_1_22_1,未知球種,0,24,24
184,train,20_1_25_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/20_1_25_1,未知球種,0,25,25
185,train,20_1_27_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/20_1_27_1,未知球種,0,25,25
186,train,20_1_33_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/20_1_33_1,未知球種,0,25,25
187,train,20_1_35_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/20_1_35_1,未知球種,0,25,25
188,train,20_2_16_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/20_2_16_1,未知球種,0,25,25
189,train,20_2_18_1,project/dataset/ShuttleSet/merged_seq100_between_2_hits_with_max_limits/train/未知球種/20_2_18_1,未知球種,0,25,25
